No;Judul;Penulis;Genre;Sinopsis;URL Sumber;;;;;;
87;Diary Renata;Misstie;Keluarga;"Pernikahan Renata dan Arkana berakhir di meja persidangan setelah hakim mengetuk palu dan menyatakan bahwa Renata terbukti berselingkuh dengan teman kuliahnya, Fandi.

Tiga bulan setelah perceraian, Renata menikah dengan Fandi. Namun, pernikahan itu jauh dari harapan. Hingga pada suatu hari, Renata dan Fandi tiba-tiba menghilang tanpa jejak. Kepergian mereka yang misterius memicu pencarian panjang selama bertahun-tahun oleh Arkana-mantan suami Renata-dan Rendy, kakak kandung Renata.

Setelah tiga tahun tanpa kabar, Renata akhirnya ditemukan dalam kondisi mengenaskan. Ia menjadi korban percobaan pembunuhan yang nyaris merenggut nyawanya. Banyak fakta kelam tersembunyi selama masa hilangnya Renata-fakta yang perlahan terungkap melalui catatan harian miliknya.

******

Cerita ini merupakan karya fiksi yang sepenuhnya lahir dari imajinasi. Tokoh, tempat, dan kejadian di dalamnya tidak memiliki keterkaitan dengan dunia nyata. Jika terdapat kesamaan nama atau situasi, hal tersebut sepenuhnya merupakan ketidaksengajaan.";https://www.wattpad.com/story/394505390-diary-renata-end;;;;;;
88;REVANARA;Lasttwilight;Cinta;"Otoriter. 
Kaku. 
Kasar. 
Kejam. 
Ketus. 
Pemarah. 
Arogan. 
Angkuh. 

Bisa di bilang semua sifat buruk laki-laki melekat pada dirinya. Jika di sebutkan satu persatu, sederet paragraf tidak cukup untuk mendeskripsikannya. 

Tapi, anehnya semua gadis bertekuk lutut padanya. Kata-kata manisnya begitu memabukkan di tambah tampangnya yang premium menjadikannya most wanted di sekolah. Dia adalah salah satu objek yang di kagumi para gadis, hanya dengan senyuman tipisnya semua gadis-gadis jatuh kepelukannya. 

Dia spesies adam paling berbahaya, bisa mendapatkan siapa saja dan  tak segan-segan membuang mereka bila ia  bosan. 

Namun, Tuhan sungguh maha adil, permainan takdir yang kejam membuat dia terikat pada seorang gadis yang jauh dari kata sempurna. 

Dan bagaimana jika tiba-tiba Revan di hadapkan pada kenyataan kalau dia akan menjadi seorang Ayah di usianya yang baru menginjak 18 tahun? 


Yang membuat ia belajar kalau semua yang terjadi sejatinya anugerah terindah untuknya.
";https://www.wattpad.com/story/262019253-revanara;;;;;;
89;Eldest ;Nini100209;Keluarga;"Apakah hanya protagonis saja yang wajib bahagia?

Apakah antagonis tidak boleh bahagia?

Kenapa pembaca seakan-akan merasa kalau yang paling tersakiti di sini adalah protagonis?

Apakah pembaca tidak merasa kalau antagonis itu juga kesakitan?

Protagonis itu tokoh baik yang tidak boleh tersakiti, dia harus selalu ditakdirkan untuk memiliki ending yang bahagia.

Antagonis memang tokoh jahat, ya mereka memang tokoh jahat. Mereka selalu melukai protagonis, mereka selalu menghambat protagonis.

Tapi, coba kalian bayangkan, bayangkan kalau tokoh yang selama ini kalian benci ternyata memiliki kesakitan tersendiri pula? Bagaimana perasaan kalian? Menyesal? Senang? Sedih? Kecewa?

Ya, sekiranya begitulah yang dirasakan oleh Harisandra Kharisma Vaslen yang bertransmigrasi 'sementara' ke dalam tubuh antagonis dalam novel yang ia baca.

Ia hanya di suruh oleh jiwa Line untuk membuat ia dekat dengan adek-adeknya dan membahagiakan mereka. Ia jadi bingung, kenapa harus adek-adek Line saja yang bahagia? ";https://www.wattpad.com/story/366595804-eldest-end;;;;;;
90;Sofia's Love story;Tele Novale;"Cinta, Humor, Fantasi";"Sofia tak menyangka kematiannya yang konyol -jatuh dari pohon rambutan tetangga- justru membawanya ke kehidupan baru sebagai Lady Sofia, bangsawan muda di dunia aristokrat. Dikelilingi kemewahan dan pesona istana, ia pun mulai menikmati takdir barunya.

Namun, semua berubah saat pandangannya bertemu dengan Jackson, sang Duke dari Utara. Dingin, berwibawa, dan tak tersentuh - pria itu adalah teka-teki yang ingin Sofia pecahkan.

Masalahnya? Jackson tak percaya cinta. Luka masa lalu dan pengkhianatan cinta pertamanya membuat hatinya beku. Dan lebih buruk lagi, ia mengenal Sofia sebagai musuh lamanya di Akademi.

Tapi Sofia tak menyerah. Jika takdir sudah memberinya tubuh baru dan kehidupan baru, maka ia akan menulis ulang kisah cintanya dengan Jackson di sisinya.

Bisakah Sofia menaklukkan hati sang Duke yang beku?";https://www.wattpad.com/story/393854015-sofia%27s-love-story-%E2%88%9A;;;;;;
91;Hapless;rahma tnd;"Keluarga, Romansa";"Komitmen adalah landasan penting yang harus dimiliki pasangan dalam menjalin hubungan. 

 
Bagi Smara hidup orang dewasa itu rumit dan banyak drama. Komitmen bukan landasan orang tuanya untuk menjalin hubungan, tapi kesalahan yang menjadi landasan mereka terikat satu sama lain. Smara lahir di dunia atas kesalahan Melvin dan Alya. 

""Seandainya gue gak lahir, pasti dunia mereka baik-baik aja."" 

Balas dendam adalah perbuatan membalas perbuatan orang lain karena sakit hati atau dengki. 

Jika Smara lahir karena kesalahan orang tuanya, maka Reon mendefiniskan dirinya sebagai anak yang terlahir atas dendam Zira, bundanya. 

""Kita hanya korban dari keegoisan orang dewasa yang ngaku-ngaku orang tua kita."" 

Smara dan Reon hanya salah satu dari jutaan anak yang lahir tanpa landasan kasih sayang yang seimbang dari orang tuanya. Hidup mereka berada di garis yang sama, tapi mereka tak akan pernah menyangka siapa jati diri mereka sebenarnya. ";https://www.wattpad.com/story/248785946-hapless;;;;;;
92;AILY DAILY;Bilsab;"Humor, Cinta, Keluarga";"Dua insan ciptaan tuhan yang bertemu di situasi yang serupa, mempunyai perasaan hampa di dada. Takdir yang sama, kehilangan separuh jiwa membuat mereka terpuruk di hidupnya, dan sama-sama mengharapkan sesuatu yang indah di akhir masa.

""Sejak kapan luka itu ada?"" Aily bertanya melihat luka besar yang dimiliki Dipta. ""Sejak mama tidak ada di sini."" 

""Kamu suka senja?"" Dipta menatap dalam mata Aily, mata yang sepertinya banyak menabung rindu. ""Senja, bikin aku inget sama Ibu, dia matahari yang indah saat akan terbenam."" 

Apakah mereka mampu menghilangkan semua rasa pilu di hati? Apakah mereka mampu membuat sesuatu yang indah di akhir bagian? Lantas, bagaimana caranya?";https://www.wattpad.com/story/371737501-aily-daily;;;;;;
93;Jejak Selaras;amorelea;"Keluarga, Romansa";"Jeevika menghabiskan hidupnya untuk bekerja. Selama ini dirinya berusaha mencari uang guna membantu perekonomian keluarga dan menafkahi kedua adiknya yang masih duduk di bangku sekolah, pun bangku kuliah. Demi mereka, ia rela bekerja di bawah tekanan ketika dirinya diterima oleh sebuah perusahaan di kota Jakarta.

Keuangan yang Jeevika dapatkan tidak pernah digunakan membeli barang yang tidak berguna maupun perihal pemborosan. Jeevika harus hemat, income yang didapatkan dari bekerja hanya akan mengalir kepada keluarganya. Tak pernah terbesit dibenaknya menggunakan uang tersebut sebagai pemanjaan diri sendiri. Jatuh cinta atau menikah bahkan tidak pernah terlintas di pikirannya.

Namun, bagaimana bila takdir memaksanya bertemu dan mengenal pria bernama Maheswara Pramoedya? Pria pemilik sebuah hotel berbintang yang berdiri di sebelah kantor Jeevika bekerja. Usianya terpaut 10 tahun dengan Maheswara, hal itulah yang membuat Jeevika sedikit ragu ketika menerima lamaran pernikahan darinya. 

Apa yang akan Jeevika lakukan dengan kejadian tersebut? Apa nantinya dia akan menerima lamaran dari Maheswara di saat status sosial mereka terpaut sangat jauh?";https://www.wattpad.com/story/389373386-jejak-selaras-%E2%9C%93;;;;;;
94;MOMENT;dogengwaktu;"Romansa, Religi, Komedi";"Banyak orang bilang ""Move On"" saja kalau nggak nanti"" gamon"". Namun, bila pertemuanmu dengan dia adalah kesempatan untuk memperbaiki apa yang terjadi, hanya karena terjeda oleh sesuatu yang rumit. Dan sesingkat itu Tuhan memberimu kesempatan?

Ditinggalkan oleh mantan itu sakit tanpa penjelasanan apa pun. Menjalani hidup seperti layak orang Depersi berat. Bagimu, dia rumahmu. Bahkan, kalian berdua berjanji untuk menikah. Apalagi setelah melihat keluarga  broken home.  Hidup penuh trauma, themor, berat badan hampir tidak karuan, semua berubah. 

Reno pun enggan meminta maaf dan mencari Syifa. Entah apa yang terjadi pada Reno. Penuh misteri dah tidak pernah ada yang tahu.

6 tahun lebih 6 bulan perjalan pahit belum bisa mengubur  yang sudah dijalin 1 tahun 4 bulan oleh Syifa bersama mantannya, Reno yang merupakan penulis Novel solo best sheller. Yang PDKT saja saset sekilas info seperti berita, putuspun nggk kira-kira.

Sebagai wanita Indipenden yang protect diri dari yang namanya ""Percinta""  yang selalu berprinsip pada dirinya bahwa jodoh akan datang pada saat kita bertumbuh.

Namun, siapa sangka yang harusnya sudah terkubur di masa lalu muncul kembali  6 tahun kemudian. Bukan membawa kebahagiaan tetapi mengoresi hati kembali.  

Dengan rutuhnya hubungan Syifa tetap bertekad terus megubah diri menjadi wanita karir sukses dan pendidikan menterang.

Sampai hingga terhubung lagi dengannya karena bisnis  sebagai mitra . Lalu apakah Syifa akan balikan lagi dengan Reno?";https://www.wattpad.com/story/387170054-moment-on-going;;;;;;
95;"Hi, My Twins!";smallstep00;"Humor, Keluarga, Misteri";"Kisah ini tentang dua anak kembar yang memiliki nasib yang berbeda. Salah satu dari mereka tidak di akui oleh keluarga. Anak malang itu di asingkan bahkan pernah berniat di bunuh oleh kakek buyutnya. 

Anak itu diasingkan bukan sebab dia terlahir dari hubungan terlarangan atau pun memiliki sebuah penyakit yang mengerikan. Dia diasingkan karena dia terlahir sebagai anak perempuan. 

Edbert Marques, pria bengis yang sangat menentang kelahiran anak perempuan di keluarganya. Bukan itu saja, dia menganggap derajat seorang perempuan itu sangatlah rendah. Baginya adanya perempuan di keluarganya itu tidak berguna, mereka hanya bisa menjadi beban dan ancaman keberhasilannya. 

Ia tidak segan-segan akan menghancurkan atau membunuh orang-orang yang menentang keputusannya. Tidak berduli jika dia darah dagingnya sendiri. ";https://www.wattpad.com/story/354062448-hi-my-twins;;;;;;
96;EPIPHANY;Nur Azizah;Cinta;"Rania berada di ambang kebingungan. Antara memilih Elang atau 'dia' yang sebelumnya pernah ada di hatinya. Hubungan yang awalnya berjalan baik-baik saja, perlahan retak di saat Rania mencoba untuk pergi tanpa melukai. Namun, Rania melupakan satu hal yang pernah Elang katakan. Perihal laki-laki cuek itu yang tak suka dibohongi, dikhianati, dan dipermainkan hatinya. Bahkan dia juga melupakan beberapa hal penting lainnya. Perihal bahwa dirinya adalah salah satu kesukaan Elang akhir-akhir ini.

Di titik ini, Rania mencoba untuk menyatukan dua hal tersebut sekaligus. Bisakah dirinya pergi tanpa melukai? Atau bahkan Elang sendiri yang akan mundur setelah mengetahui siapa laki-laki yang sempat singgah di hati gadis manis yang disukainya?

* * *

""Maaf, Elang. Di sini aku mau kamu paham bahwa yang selalu ada, tak menjamin akan menjadi peran utama. Karena bagiku, kamu hanyalah peran pengganti yang kebetulan bersedia untuk menyembuhkan luka yang pernah diciptakan olehnya.""

Benarkah hubungan keduanya kandas sampai di sini?";https://www.wattpad.com/story/202885846-epiphany;;;;;;
97;the lost chapter;ZERA;"Romansa, Komedi, Fantasi, Aksi";"Elara, seorang wanita muda yang hidupnya dipenuhi dengan kekecewaan, menghabiskan hari-harinya terkurung dalam kesendirian. Keluarga yang berantakan, impian yang sirna, dan masa depan yang tak menentu membuatnya tenggelam dalam keputusasaan. Satu-satunya pelariannya adalah buku-buku, yang membawanya ke dunia lain yang jauh lebih baik. Namun, sebuah novel kerajaan yang baru dibelinya ternyata mengundang amarahnya. Dengan penuh kemarahan, Elara mengkritik isi buku tersebut sebelum akhirnya tertidur. Ia terbangun di sebuah tempat yang tidak ia kenali menghadap kenyataan bahwa buku tersebut ternyata bukanlah sekadar fiksi...
 
Apakah elara akan berusaha untuk kembali ke dunia suram nya? Atau mungkin dia akan mengubah alur cerita untuk bertahan hidup?";https://www.wattpad.com/story/390972309-the-lost-chapter;;;;;;
98;ALEA;Nabilah;"Romansa, Komedi";"Ini tentang dimana seorang perempuan yang lahir ke dunia, dengan kekuatan jiwa yang begitu besar ia miliki. Tentang rasa, dimana semesta seperti tak merestuinya untuk bahagia. Tentang bagaimana ia menjalani hidupnya, walau memang kebanyakan bersedih. 

Broken home, bullyng, gangguan mental, hingga toxic relationship membuatnya harus kuat dalam menjalani hidup yang tak selalu sejalan. 

Devan, lelaki itu hadir kembali untuk menyediakan ia bahu, juga dekapan pelukan yang begitu hangat. Orang yang akan selalu merangkul, juga memberi semangat.
____

""waktu itu semesta terlalu jahat, sampai menyisahkan luka yang tidak akan pernah sembuh sebelumnya.""

""mau seberapa banyak orang yang bilang 'semangat' kalau pada akhirnya kita terlanjur rapuh, ya rapuh.""

____

""boleh lelah, asal jangan menyerah, apalagi sampai balik arah.""";https://www.wattpad.com/story/291411984-alea;;;;;;
99;TerraCotta;Manusia Antik;"Komedi, Cinta, Keluarga";"Di usia yang nyaris kepala tiga, Terra masih tidak mengerti tujuan hidupnya apa. Selama lima tahun terakhir, dia merasa tidak ada yang berubah, waktu berhenti berputar dan tahu-tahu dia sudah dua puluh delapan tahun. Rasanya baru kemarin dia masuk kerja di perusahaan yang sekarang, tiba-tiba dia sudah mendapatkan gift box lima tahun pengabdiannya pada perusahaan.
Sahabat baiknya yang dari bayi bersama dengannya sebentar lagi juga akan menikahi pujaan hatinya. Artinya hanya Terra saja yang akan sendirian setelah ini. Membayangkan itu saja sudah membuat Terra setengah gila dengan otak yang hampir cidera.
Sedang adem-ademnya, kantor digemparkan dengan isu korupsi dan perselingkuhan atasannya sendiri, membuat Terra berada di posisi yang serba salah. Pekerjaan Terra yang tadinya damai-damai saja jadi seperti angin puting beliung karena munculnya sang atasan baru yang mengerikan. 
Kalau tidak ingat dosa, rasanya dia ingin berhenti hidup saja. Satu-satunya yang membuat Terra bertahan hidup adalah karena dia tidak mau mati konyol dan bingung ketika ditanya apa saja yang sudah dia lakukan di dunia nanti. Paling tidak harus ada yang dibanggakan dari dirinya kan.";https://www.wattpad.com/story/297072843-terracotta-completed;;;;;;
100;GERA;saceritera;"Cinta, Keluarga";"""DUA HATI YANG TAK PERNAH MENYATU.""

Pernah merasakan cinta tapi tidak ada balasan? Bagaimana rasanya, sakit bukan?

Perasaan tidak terbalaskan memang sakit. Tetapi jika benar-benar cinta apa pun akan diperjuangkan. Seperti Gesang memperjuangkan Rania, meski Rania sudah menjadi milik orang lain.

Gesang berjuang untuk dua hal. Pertama membanggakan orang tuanya. Kedua mendapatkan hati Rania. 

Setelah Gesang mendapatkan itu semua. Satu masalah datang. Terjadi kesalahpahaman di antara mereka. 

Hingga pada akhirnya, dia yang berhasil direngkuh memilih pergi dan susah untuk menggapainya kembali.

-

""Sang, gue udah punya pacar,"" kata Rania.

""Gue nggak peduli. Lagian yang selalu ada kan gue bukan cowok lo. Dia emangnya peduli sama lo? Enggak kan?"" balas Gesang. 

-

""Gesang, nggak mau coba buka hati buat orang lain aja?"" Rania bertanya.

""Lo nggak mau putus sama cowok lo terus pacaran sama gue aja?"" Gesang membalasnya.";https://www.wattpad.com/story/201315317-gera-sudah-terbit;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
